THEM,YOU,CLAUSE,LABEL,PARTY
Lessee,Lessor,"Lessor hereby leases to Lessee and Lessee leases from Lessor for the term, at the rental, and upon all the conditions set forth herein, the premises demised by this Lease, located at 2349/2351 South Decker Lake Boulevard, SLC UT 84119 (the ""Premises""), together with an exclusive right to use the premises as defined in Exhibit A, which is attached to and made part of this lease, and a non-exclusive right to use the parking and common areas (collectively, the ""Common Areas""), surrounding the Premises and within the project commonly known as Decker Lake Business Center    (the ""Project"").",-,
Lessee,Lessor,"The location of the Premises and the parameters of the Common Areas and the Project are shown on Exhibit ""A"" attached hereto.",-,
Lessee,Lessor,"All dimensions and areas quoted herein or in any exhibit attached hereto are approximate and are based on gross rentable area, rather than solely on areas designed for the exclusive use and occupancy of tenants. ",-,
Lessee,Lessor, TERM. ,-,
Lessee,Lessor,"The term of this Lease shall commence on October 1, 2015 (""Commencement Date"") unless construction is completed prior to this date and end on November 30, 2016 (""Expiration Date""), unless sooner terminated pursuant to any provision hereof (""Term"").",-,
Lessee,Lessor, DELAY IN COMMENCEMENT.,-,
Lessee,Lessor,"Notwithstanding the Commencement Date, if for any reason Lessor cannot deliver possession of the Premises to Lessee on said date, Lessor shall not be subject to any liability therefor, nor shall such failure affect the validity of this Lease or the obligations of Lessee hereunder or extend the Term hereof, but in such case Lessee shall not be obligated to pay rent until possession of the Premises is tendered to Lessee; provided, however, that if Lessor shall not have delivered possession of the Premises within sixty (60) days from the Commencement Date and such delay is absent of force majeure, as hereinafter defined, or otherwise, Lessee may, at Lessee's option, by notice in writing to Lessor within ten (10) days thereafter, cancel this Lease, in which event the parties shall be discharged from all obligations hereunder.",T,T
Lessee,Lessor,"If Lessee occupies the Premises prior to the Commencement Date, such occupancy shall be subject to all provisions hereof; such occupancy shall not advance the Expiration Date.",-,
Lessee,Lessor,"If Lessor, by reason of force majeure or otherwise, cannot deliver the Premises within ninety (90) days from the Commencement Date, Lessor or Lessee may, at their respective options, by notice in writing within ten (10) days thereafter, cancel this Lease.",T,B
Lessee,Lessor,"In the event Lessor is required to improve the Premises as described on Exhibit ""B"" attached hereto, Lessor agrees to use reasonable diligence to have the Premises ready for occupancy on or before the Commencement Date.",-,
Lessee,Lessor,Lessee has taken occupancy of the western half of the building prior to execution of the lease.,-,
Lessee,Lessor,Lessee shall not interfere with tenant improvement contractors work. ,-,
Lessee,Lessor, RENT. ,-,
Lessee,Lessor, MONTHLY BASE RENT.,-,
Lessee,Lessor,"During the first year of the Term, Lessee shall pay to Lessor a monthly base rental of five thousand five hundred thirty five dollars ($5,535.00) The second and third month's rent are abated.",-,
Lessee,Lessor, The monthly base rental shall be increased as listed above.,-,
Lessee,Lessor,"The monthly base rental due hereunder shall be payable to Lessor by the first day of each month during the Term at the address stated herein or to such other persons or at such other places as Lessor may designate in writing and shall be paid in lawful money of the United States of America, but shall not be payable more than one (1) month in advance.",-,
Lessee,Lessor,"The Lessee further agrees to pay Lessor, in addition to the rent as provided herein, all privilege, sales, excise, rental and other taxes (except income taxes) imposed now or hereinafter imposed by any governmental authority upon the rentals and all other amounts herein provided to be paid by the Lessee.",-,
Lessee,Lessor,Said payment shall be in addition to and accompanying each monthly rental payment made by Lessee to Lessor. ,-,
Lessee,Lessor,The base rental set forth in this Section 4.1 is a negotiated figure and shall govern whether or not the actual gross rentable square footage of the Premises is the same as set forth in Paragraph 12 hereof.,-,
Lessee,Lessor,"Lessee shall have no right to withhold, deduct or offset any amount from the base monthly rental or any other sum due hereunder even if the actual gross rentable square footage of the Premises is less than that set forth in Paragraph 12.",-,
Lessee,Lessor,Rent for any period during the Term which is for less than one month shall be a pro rata portion of the monthly installment. ,-,
Lessee,Lessor, SECURITY DEPOSIT. ,-,
Lessee,Lessor,"Lessee shall deposit with Lessor upon execution hereof                       present eleven thousand seventy dollars ($11,070.00) security deposit as security for Lessee's faithful performance of Lessee's obligations hereunder.",-,
Lessee,Lessor,"If Lessee fails to pay rent or other charges due hereunder, or otherwise defaults with respect to any provision of the Lease, Lessor may use, apply, or retain all or any portion of said deposit for the payment of any rent or other charge in default or for the payment of any other sum for which Lessor may become obligated by reason of Lessee's default, or to compensate Lessor for any loss or damage which Lessor may suffer thereby.",-,
Lessee,Lessor,"If Lessor so uses or applies all or any portion of said deposit, Lessee shall within ten (10) days after written demand therefor deposit cash with Lessor in an amount sufficient to restore said deposit to the full amount herein above stated, and Lessee's failure to do so shall be a material breach of this Lease.",-,
Lessee,Lessor,Lessor shall not be required to keep said deposit separate from its general accounts.,-,
Lessee,Lessor,"If Lessee performs all of Lessee's obligations hereunder, said deposit, or so much thereof as has not theretofore been applied by Lessor, shall be returned, without payment of interest or other increment for its use, to Lessee (or, at Lessor's option, to the last assignee, if any, of Lessee's interest hereunder) at the expiration of the Term and after Lessee has vacated the Premises.",-,
Lessee,Lessor,Any mortgagee of Lessor or purchaser of the Project shall be relieved and released from any obligation to return said deposit in the event such mortgagee or purchaser becomes the owner of the Project by reason of foreclosure or trustee's sale (including deed in lieu thereof or proceeding in lieu of foreclosure or trustee's sale unless said deposit shall have been actually delivered to such mortgagee or purchaser.,-,
Lessee,Lessor,"Such release, however, shall not relieve the person or entity who owned the Project immediately prior to acquisition of title by such mortgagee or purchaser of any obligation he or it may have to return said deposit. ",-,
Lessee,Lessor, USE. ,-,
Lessee,Lessor, PERMITTED USES. ,-,
Lessee,Lessor, (a)  The Premises are to be used only for General Office and Warehouse Use.,-,
Lessee,Lessor,"  (""Permitted Use"") and for no other business or purpose whatsoever without the prior written consent of Lessor.",-,
Lessee,Lessor,No act shall be done in or about the Premises that is unlawful or that will increase the existing rate of insurance on the Project.,-,
Lessee,Lessor,"In the event of a breach of this covenant, Lessee shall pay to Lessor any and all increases in insurance premiums resulting from such breach upon demand, and Lessor shall have all additional remedies provided for herein to redress such breach.",-,
Lessee,Lessor,"Lessee shall not commit or allow to be committed any waste upon the Premises, or any public or private nuisance or other act or thing which disturbs the quiet enjoyment of any other lessee in the Project.",-,
Lessee,Lessor,"If any of Lessee's machines or equipment disturb any other lessee in the Project, then Lessee shall provide adequate insulation, or take such other action as may be necessary to eliminate the noise or disturbance.",-,
Lessee,Lessor,"Lessee, at its expense, shall comply with all laws relating to its use and occupancy of the Premises and shall observe such reasonable rules and regulations as may be adopted and made available to Lessee by Lessor from time to time for the safety, care and cleanliness of the Premises or the Project and for the preservation of good order therein. ",-,
Lessee,Lessor," (b)Lessee warrants that the operation of its business shall be conducted in strict compliance with all applicable private covenants, conditions and restrictions and all applicable federal, state and local environmental, safety and other pertinent laws, rules, regulations and ordinances and that any alterations necessary to the Premises by reason of such covenants, conditions, restrictions, laws, rules, regulations and ordinances, including, without limitation, The Americans With Disabilities Act, shall be at Lessee's sole cost and expense.",-,
Lessee,Lessor,"Lessee represents and warrants to Lessor that there is no risk to Lessee, Lessee's visitors and others using the Premises arising from Lessee's operations.",-,
Lessee,Lessor,"Lessee shall indemnify, defend and hold harmless Lessor from and against any claim, liability, expense, lawsuit, loss or other damage, including reasonable attorneys!",-,
Lessee,Lessor,"fees, arising from or relating to Lessee's use of the Premises or Lessee's activities within the Project or any violations of the Americans with Disabilities Act due to the use of the Premises by Lessee, its employees, subtenants, agents, guests or invitees. ",-,
Lessee,Lessor, CONDITION OF PREMISES.,-,
Lessee,Lessor,"Lessee hereby accepts the Premises in their condition existing as of the date of the execution hereof or in the condition described on the attached Exhibit ""B"" whichever is applicable, subject to all applicable laws, ordinances and regulations governing and regulating the use of the Premises, and subject to all matters disclosed thereby.",-,
Lessee,Lessor,Lessee acknowledges that neither Lessor nor Lessor's agents has made any representation or warranty as to the suitability of the Premises for the conduct of Lessee's business and that Lessee and its agents and contractors have been provided with an opportunity to thoroughly inspect the Premises and the Project. ,-,
Lessee,Lessor, HAZARDOUS MATERIALS. ,-,
Lessee,Lessor,"(a)     As used herein, the term ""Hazardous Material"" shall mean any substance or material which has been determined by any state, federal or local governmental authority to be capable of posing a risk of injury to health, safety or property, including all of those materials and substances designated as hazardous or toxic by the city in which the Premises are located, the U.S. Environmental Protection Agency, the Consumer Product Safety Commission, the U.S. Food and Drug Administration, the Utah Department of Environmental Quality, or any other governmental agency now or hereafter authorized to regulate materials and substances in the environment, and including, without limitation, hazardous substances and materials defined in the Comprehensive Environmental Response, Compensation and Liability Act of 1980, as amended, 42 U.S.C.",-,
Lessee,Lessor,Section 9601 et seq.,-,
Lessee,Lessor,"(b)   Lessee agrees not to introduce any Hazardous Material in, on or adjacent to the Premises or in, on or adjacent to the Project without (1) obtaining Lessors prior written approval, (ii) providing Lessor with thirty (30) days prior written notice of the exact amount, nature, and manner of intended use of such Hazardous Materials, and (iii) complying with all applicable federal, state and local laws, rules, regulations, policies and authorities relating to the storage, use, generation, treatment, disposal and clean-up of Hazardous Materials, including, but not limited to, the obtaining of all proper permits.",-,
Lessee,Lessor,"Lessee shall not (either with or without negligence) cause or permit the escape, disposal or release of any biologically or chemically active or other Hazardous Materials. ",-,
Lessee,Lessor," (c)   Lessee shall immediately notify Lessor of any inquiry, test, investigation, or enforcement proceeding by, against or directed at Lessee or the Premises concerning a Hazardous Material.",-,
Lessee,Lessor,"Lessee acknowledges that Lessor, as the owner of the Premises, shall have the right, at its election, in its own name or as Lessee's agent, to negotiate, defend, approve, and appeal, at Lessee's expense, any action taken or order issued with regard to a Hazardous Material by any applicable governmental authority. ",-,
Lessee,Lessor,"(d)   If Lessee's storage, use or disposal of any Hazardous Material in, on or adjacent to the Premises or the Project results in any contamination of the Premises, the Project, the soil, surface or groundwater thereunder or the air above and around the Premises and the Project (1) requiring remediation under federal, state or local statutes, ordinances, regulations or policies, or (ii) at levels which are unacceptable to Lessor, in Lessors sole and absolute discretion, Lessee agrees to clean-up, remediate or otherwise address the contamination immediately, at Lessee's sole cost and expense.",-,
Lessee,Lessor,"Lessee further agrees to indemnify, defend and hold Lessor harmless from and against any claims, suits, causes of action, administrative proceedings, costs, damages, penalties, fines, loss and fees, including attorneys' fees and costs, arising out of or in connection with (1) any clean-up work, inquiry or enforcement proceeding relating to Hazardous Materials currently or hereafter used, stored, generated, treated or disposed of by Lessee or its agents, employees, contractors or invitees on or about the Premises or the Project, and (ii) the use, storage, disposal or release by Lessee or its agents, employees, contractors or invitees of any Hazardous Materials on or about the Premises or the Project.",-,
Lessee,Lessor,"(e)   Notwithstanding any other right of entry granted to Lessor under this Lease, Lessor shall have the right to enter the Premises or to have consultants enter the Premises throughout the Term at reasonable times for the purpose of determining: (1) whether the Premises are in conformity with federal, state and local statutes, regulations, ordinances and policies, including those pertaining to the environmental condition of the Premises; (2) whether Lessee has complied with this Paragraph 6 and (3) the corrective measures, if any, required of Lessee to ensure the safe use, storage, treatment and disposal of Hazardous Materials.",-,
Lessee,Lessor,Lessee agrees to provide access and reasonable assistance for such inspections.,-,
Lessee,Lessor,"Such inspections may include, but are not limited to, entering the Premises with machinery for the purpose of obtaining laboratory samples.",-,
Lessee,Lessor,Lessor shall not be limited in the number of such inspections during the Term.,-,
Lessee,Lessor,"If, during such inspections, it is found that Lessee's use of Hazardous Materials constitutes a violation of or is inconsistent with this Lease, Lessee shall reimburse Lessor for the cost of such inspections within ten (10) days of receipt of a written statement therefor.",-,
Lessee,Lessor,"If such consultants determine that the Premises are contaminated with Hazardous Material or in violation of any applicable environmental law, Lessee shall, in a timely manner, at its expense, remove such Hazardous Materials or otherwise comply with the recommendations of such consultants to the reasonable satisfaction of Lessor and any applicable governmental agencies.",-,
Lessee,Lessor,"If Lessee fails to do so, Lessor, at its sole discretion, may, in addition to all other remedies available to Lessor under this Lease and at law and in equity, cause the violation and/or contamination to be remedied at Lessee's sole cost and expense.",-,
Lessee,Lessor,"The right granted to Lessor herein to inspect the Premises shall not create a duty on Lessors part to inspect the Premises, or liability of Lessor for Lessee's use, storage or disposal of Hazardous Materials, it being understood that Lessee shall be solely responsible for all liability in connection therewith. ",-,
Lessee,Lessor," (f)   Lessee shall surrender the Premises to Lessor upon the expiration or earlier termination of this Lease free of Hazardous Materials and in a condition which complies with all governmental statutes, ordinances, regulations and policies, recommendations of consultants hired by Lessor, and such other reasonable requirements as may be imposed by Lessor. ",-,
Lessee,Lessor,(g)   Lessee's obligations under this Paragraph 6 and all indemnification obligations of Lessee under this Lease shall survive the expiration or earlier termination of this Lease.,-,
Lessee,Lessor," MAINTENANCE, REPAIRS AND ALTERATIONS. ",-,
Lessee,Lessor, LESSOR'S OBLIGATIONS.,-,
Lessee,Lessor,"Subject to the provisions of Paragraph 9 and except for damage caused by any negligent or intentional act or omission of Lessee, Lessee's agents, employees or invitees and except for Lessors right to include certain costs as Total Common Area Charges pursuant to Paragraph 11, Lessor, at Lessors expense, shall keep in good order, condition, and repair the foundations, exterior walls, and the structural and non-structural portions of the exterior roof of the Premises.",-,
Lessee,Lessor,"Lessee expressly waives the benefits of any statute now or hereafter in effect which would otherwise afford Lessee the right to make repairs at Lessors expense or to terminate this Lease because of Lessors failure to keep the Premises in good order, condition, and repair. ",T,T
Lessee,Lessor, LESSEE'S OBLIGATIONS. ,-,
Lessee,Lessor,"(a)   Lessee shall, at its expense throughout the Term, maintain, service, replace, and keep in good repair the interior structures except those items for which Lessor is specifically made responsible under Section 7.1, and mechanical equipment of the Premises, and all other aspects of the Premises including such items as floors, ceilings, walls, doors, glass, plumbing, paint, heating, ventilating and air conditioning equipment, partitions, electrical equipment, wires, and electrical fixtures, and surrender same upon the expiration of the Term in the same condition as received, ordinary wear and tear excepted.",-,
Lessee,Lessor,"Lessee shall give Lessor prompt written notice of any defects or breakage in the structure, equipment, fixtures, or of any unsafe condition upon or within the Premises.",-,
Lessee,Lessor,See Exhibit B. ,-,
Lessee,Lessor," (b)   Lessor shall have the right to enter into and keep in force during the Term a preventive maintenance contract with a licensed heating and air conditioning contractor providing for the regular inspection and maintenance of the heating, ventilating and air conditioning equipment serving the Premises.",-,
Lessee,Lessor,"Lessee shall pay to Lessor, as additional rent hereunder, within ten (10) days after receiving request therefor from Lessor, all sums charged by such contractor under the preventive maintenance contract.",-,
Lessee,Lessor,"Lessor may elect to enter into such a preventive maintenance contract that covers heating, ventilating and air conditioning equipment serving the Premises as well as additional premises.",-,
Lessee,Lessor,"In such case, Lessee shall only be responsible for those charges under the contract relating to the heating, ventilating and air conditioning equipment serving the Premises.",-,
Lessee,Lessor," (c)   On the last day of the Term, or on any sooner termination, Lessee shall surrender the Premises to Lessor in the same condition as received, broom clean, ordinary wear and tear excepted. ",-,
Lessee,Lessor,"Lessee shall, at its expense, remove (1) Cable installed by or for the exclusive benefit of Lessee located in the premises or other portions of the building; and (2) any Leasehold Improvement that are performed by or for the benefit of Lessee and, in Landlord's reasonable judgement, are of a nature that would require removal and repair costs that are materially in excess of the removal and repair costs  associated with standard office/warehouse improvements collectively referred to as ""Required Removable"".",-,
Lessee,Lessor,Required Removable designated by the Landlord shall be removed by Lessee before the Termination Date.,-,
Lessee,Lessor,"If Lessee fails to remove any Required Removable or perform related repairs on a timely manner, Landlord, at Lessees expense, may remove and dispose of the Required Removable and perform the required repairs. ",-,
Lessee,Lessor,"Lessee shall repair any damage to the Premises occasioned by the removal of its trade fixtures, furnishings and equipment pursuant to Section 7.3, which repair shall include without limitation the patching and filling of holes and repair of structural damage.",-,
Lessee,Lessor,Property left behind by Lessee may be disposed of by Lessor at Lessee's expense.,-,
Lessee,Lessor,Lessee's obligations under this Section 7.2(c) shall survive the expiration or earlier termination of this Lease.,-,
Lessee,Lessor, ALTERATIONS AND ADDITIONS. ,-,
Lessee,Lessor," (a) Alterations, improvements, additions, utility installations or removal of any fixtures may not be made to the Premises without the prior written consent of Lessor, and any alterations, improvements, additions or utility installations to the Premises, excepting movable furniture and machinery and trade fixtures, shall, at Lessor's option, become part of the realty and belong to Lessor upon the expiration or earlier termination of this Lease.",-,
Lessee,Lessor,"However, this shall not prevent Lessee from installing trade fixtures, machinery, or other trade equipment in conformance with all applicable ordinances, regulations and laws.",-,
Lessee,Lessor,"Lessee shall be responsible for any increases in Lessor's insurance premiums resulting from any alterations, improvements, additions, or utility installations made by Lessee, regardless of whether Lessor consented to the same.",-,
Lessee,Lessor,"Lessee shall keep the Premises, the building in which the Premises are located, and the land on which the Premises are situated free from any liens arising out of any work performed for, material furnished to, or obligations incurred by the Lessee.",-,
Lessee,Lessor,"Should any such lien be filed against the Premises, the building in which the Premises are located, or the land on which the Premises are situated, Lessee shall, at its own expense, within fifteen (15) days after the filing of such lien, discharge the same of record.",-,
Lessee,Lessor,"It is further understood and agreed that under no circumstance is the Lessee to be deemed the agent of the Lessor for any alteration, repair, or construction within the Premises, the same being done at the sole expense of the Lessee.",-,
Lessee,Lessor,"All contractors, material men, mechanics, and laborers are hereby charged with notice that they must look only to the Lessee for the payment of any charge for work done and materials furnished upon the Premises during the Term. ",-,
Lessee,Lessor," (b) Upon the expiration or sooner termination of the Term, Lessee shall, upon written demand by Lessor, at Lessee's sole expense, with due diligence, remove any alteration, addition or improvement made by Lessee, designated by Lessor to be removed, and repair any damage to the Premises caused by such removal.",-,
Lessee,Lessor,Lessee shall remove all of its movable property and trade fixtures which can be removed without damage to the Premises at the expiration or earlier termination of this Lease and shall pay Lessor for all damages from injury to the Premises or Project resulting from such removal. ,-,
Lessee,Lessor, INSURANCE; INDEMNITY. ,-,
Lessee,Lessor, LESSEE'S LIABILITY INSURANCE.,-,
Lessee,Lessor,"Lessee shall, at Lessee's expense, obtain and keep in force during the Term a policy of commercial general liability insurance written on an occurrence basis insuring Lessee against any liability arising out of the use, occupancy, or maintenance of the Premises and all areas appurtenant thereto.",-,
Lessee,Lessor,"Such insurance shall be primary and not contributing with any insurance maintained by Lessor, shall have a combined single limit of liability of $2,000,000 and shall name Lessor as an additional insured.",-,
Lessee,Lessor,"The limits of said insurance shall not, however, limit the liability of Lessee hereunder.",-,
Lessee,Lessor,"Said insurance shall have a Lessor's Protective Liability endorsement attached thereto, and shall contain a contractual liability endorsement covering all indemnification obligations of Lessee hereunder.",-,
Lessee,Lessor,"If Lessee shall fail to procure and maintain said insurance, Lessor may, but shall not be required to, procure and maintain the same, but at the expense of Lessee. ",-,
Lessee,Lessor,  LESSEE'S PROPERTY INSURANCE.,-,
Lessee,Lessor,"Lessee shall, at Lessee's expense, obtain and keep in force during the Term a policy or policies of insurance covering loss or damage to Lessee's personal property, merchandise, stock in trade, fixtures and equipment located on the Premises from time to time, in the amount of the full replacement value thereof, providing protection against all perils included within the classification of fire, extended coverage, vandalism, malicious mischief, special extended perils (special form). ",-,
Lessee,Lessor, LESSEE'S WORKER'S COMPENSATION INSURANCE.,-,
Lessee,Lessor,"Lessee shall, at Lessee's expense, obtain and keep in force during the Term workers compensation insurance in statutory amounts and limits. ",-,
Lessee,Lessor, LESSOR'S LIABILITY INSURANCE.,-,
Lessee,Lessor,"Lessor shall obtain and keep in force during the Term a policy of commercial general liability insurance written on an occurrence basis insuring Lessor against any liability arising out of the ownership, use, occupancy, or maintenance of the Project, including the Common Areas.",-,
Lessee,Lessor,"Such insurance shall have a combined single limit of liability of at least $2,000,000.",-,
Lessee,Lessor, LESSOR'S PROPERTY INSURANCE.,-,
Lessee,Lessor,"Lessor shall obtain and keep in force during the Term a policy or policies of insurance covering loss or damage to the Project, in the amount of the full replacement value thereof, exclusive of footings and foundations, providing protection against all perils included within the classification of fire, extended coverage, vandalism, malicious mischief, special extended perils (special form).",-,
Lessee,Lessor,"Lessee understands and agrees that the insurance described in this Section 8.4 will not cover Lessee's personal property, merchandise, stock in trade, trade fixtures and equipment.",-,
Lessee,Lessor, BUSINESS INTERRUPTION INSURANCE.,-,
Lessee,Lessor,"Lessor may, at its option, obtain and keep in force during the Term a policy of business interruption insurance in an amount sufficient to cover any loss of income from the Project for a period of twelve (12) months.",-,
Lessee,Lessor, INSURANCE POLICIES.,-,
Lessee,Lessor,"Insurance required hereunder shall be in companies rated ""A"" or better by A. M. Best Co., in Bests Key guide.",-,
Lessee,Lessor,"On or prior to the Commencement Date, Lessee shall deliver to Lessor copies of policies of liability insurance required under Section 8.1 and policies of casualty insurance required by Section 8.2 or certificates evidencing the existence and amounts of such insurance, and in the case of the liability insurance policy indicating that Lessor has been named an additional insured thereunder.",-,
Lessee,Lessor,All such policies and certificates of insurance shall state explicit that such insurance shall not be cancelable or subject to reduction of coverage or other modification except upon at least thirty (30) day's advance written notice by the insurer to Lessor.,-,
Lessee,Lessor,"Lessee shall furnish Lessor with renewals or ""binders"" thereof, or Lessor may order such insurance and charge the cost thereof to Lessee, which amount shall be payable by Lessee upon demand.",-,
Lessee,Lessor,Lessee shall not do or permit to be done anything which shall invalidate the insurance policies referred to in Paragraph 8.,-,
Lessee,Lessor," Either party may provide any required insurance under a so-called blanket policy or policies covering other parties and locations and may maintain the required coverage by a so-called umbrella policy or policies, so long as the required coverage is not thereby diminished. ",-,
Lessee,Lessor, WAIVER OF SUBROGATION.,-,
Lessee,Lessor,"Lessee and Lessor each hereby waives any and all rights of recovery against the other, or against the officers, partners, employees, agents, and representatives of the other, for loss of or damage to such waiving party or its property or the property of others under its control, where such loss or damage is insured against and actually covered under any property insurance policy in force at the time of such loss or damage, but such waiver extends only to the extent of the actual insurance coverage.",-,
Lessee,Lessor,"Lessee and Lessor shall, upon obtaining the policies of insurance required hereunder, give notice to the insurance carrier or carriers that the foregoing mutual waiver of subrogation is contained in this Lease. ",-,
Lessee,Lessor, INDEMNITY.,-,
Lessee,Lessor,"Lessee shall indemnify, defend and hold harmless Lessor from and against any and all claims arising from Lessee's use of the Premises, or from the conduct of Lessee's business or from any activity, work, or things done, permitted, or suffered by Lessee in or about the Premises or elsewhere, and shall further indemnify, defend and hold harmless Lessor from and against any and all claims arising from any breach or default in the performance of any obligation on Lessee's part to be performed under the terms of this Lease or arising from any negligence of the Lessee, or any of the Lessee's agents, contractors or employees, and from and against all costs, attorneys' fees, expenses, and liabilities incurred in the defense of any such claim or any action or proceeding brought thereon.",-,
Lessee,Lessor,"Lessee, as a material part of the consideration to Lessor, hereby assumes all risk of damage to property or injury to persons, in, upon, or about the Premises arising from any cause and Lessee hereby waives all claims in respect thereof against Lessor, except to the extent of gross negligence of Lessor, its agents, employees, and/or contractors. ",-,
Lessee,Lessor, EXEMPTION OF LESSOR FROM LIABILITY. ,-,
Lessee,Lessor," (a) Lessee hereby agrees that Lessor and its agents shall not be liable for injury to Lessee's business or any loss of income therefrom or for damage to the goods, wares, merchandise, or other property of Lessee, Lessee's employees, invitees, customers, or any other person in or about the Premises, nor shall Lessor be liable for injury to the person of Lessee, Lessee's employees, agents or contractors, whether such damage or injury is caused by or results from fire, steam, electricity, gas, water or rain, or from the breakage, leakage, obstruction, or other defects of pipes, sprinklers, wires, appliances, plumbing, air conditioning or light fixtures, or from any other cause whether said damage or injury results from conditions arising upon the Premises or upon other portions of the building of which the Premises are a part, or from other sources or places, and regardless of whether the cause of such damage or injury or the means of repairing the same is inaccessible to Lessee.",-,
Lessee,Lessor,"Lessor shall not be liable for any damages arising from any act or neglect of any other lessee, if any, of the building in which the Premises are located. ",-,
Lessee,Lessor," (b)      No individual partners, shareholders, directors, officers, employees or agents of Lessor or individual, member of a joint venture, tenancy in common, firm or partnership, general or limited, which may be the Lessor or any successor in interest, shall be subject to personal liability with respect to any of the covenants or conditions of this Lease.",-,
Lessee,Lessor,"The Lessee shall look solely to the equity of the Lessor in the Project, and the rents, issues and profits derived therefrom, and to no other assets of Lessor, for the satisfaction of the remedies of the Lessee in the event of a breach by the Lessor.",-,
Lessee,Lessor,"Lessee will not seek recourse against the individual partners, shareholders, directors, officers, employees or agents of Lessor or an individual, member of a joint venture, tenancy in common, firm or partnership, general or limited, which may be the Lessor or any successor in interest or any of their personal assets for such satisfaction.",-,
Lessee,Lessor,It is mutually agreed that this clause is and shall be considered an integral part of this Lease. ,-,
Lessee,Lessor, LESSEE'S PROPORTIONATE SHARE OF INSURANCE PREMIUMS.,-,
Lessee,Lessor,"Lessee shall pay during the Term, as additional rent and in addition to all other charges due hereunder, Lessee's proportionate share (calculated in the manner described in Paragraph 12) of the premiums for the insurance required or permitted to be carried by Lessor hereunder (the ""Insurance Amount), whether the Insurance Amount shall be the result of the nature of Lessee's occupancy, any act or omission of Lessee, requirements of the holder of a mortgage covering the Premises, increased valuation of the Premises, or otherwise.",-,
