THEM,YOU,CLAUSE,LABEL,PARTY,
SOE,you," YOU PROMISE, THEREFORE, THAT YOU WILL NEVER ASSERT OR BRING ANY CLAIM OR SUIT AGAINST SOE, ITS LICENSOR(S) OR THIRD PARTY PROVIDERS, ANY COMPANY IN THE SONY FAMILY, OR ANY EMPLOYEES OF ANY OF THE ABOVE, WHICH IS RELATED TO OR BASED ON (I) A CLAIM ARISING FROM OR RELATED TO YOUR USE OF THE LIVE GAMER EXCHANGE (OR ANY OTHER APPLICABLE SOE-AUTHORIZED EXCHANGE), (II) A CLAIM ARISING FROM OR RELATED TO THE ACTS OR OMISSIONS OF LIVE GAMER, INC. OR ANY THIRD PARTY ACTING ON OR THROUGH THE LIVE GAMER EXCHANGE (OR ANY OTHER APPLICABLE SOE-AUTHORIZED EXCHANGE) (III) A CLAIM THAT YOU ""OWN"" ANY VIRTUAL GOODS IN ANY GAME, (IV) A CLAIM FOR THE ""VALUE"" OF VIRTUAL GOODS IF SOE DELETES THEM (AND/OR TERMINATES YOUR STATION ACCOUNT(S)), (V) A CLAIM FOR THE ""VALUE"" OF VIRTUAL GOODS THAT YOU MAY LOSE IF SOE DOES ANYTHING THAT IT IS ENTITLED TO DO PURSUANT TO ANY PROVISION OF THIS AGREEMENT, THE APPLICABLE GAME'S USER AGREEMENT AND SOFTWARE LICENSE, RULES OF CONDUCT, TERMS OF SERVICE AND/OR SOE'S PRIVACY POLICY, OR FOR ANY MALFUNCTIONS AND/OR ""BUGS"" IN SOE's GAMES, AND/OR LIVE GAMER (OR SUCH OTHER APPLICABLE SOE-AUTHORIZED EXCHANGE) AND/OR (VI) A CLAIM THAT THE ""VALUE"" OF ANY VIRTUAL GOODS HAS INCREASED OR DECREASED BY VIRTUE OF ANY GAME MODIFICATION THAT SOE HAS MADE OR WILL MAKE.",R,Y,
SOE,you,"However, to terminate a game, feature or service account or subscription for which you have subscribed, you must affirmatively terminate each such game account, feature or service in accordance with the terms and conditions for each such game, feature or service.",R,Y,
SOE,you,"Termination of your Station Account does not necessarily terminate your game, feature or service account or recurring subscription or membership fees and you will continue to incur and be responsible for recurring payment of such fees until you affirmatively terminate each such game account, feature or service in accordance with all applicable terms and/or end user license agreements therefor.",T,Y,
SOE,you,"Upon termination of this Agreement, you shall have no further rights to use The Station or its services.",-,,limitation of right
SOE,you,"To collect a prize, you will be required to provide a valid Social Security number or other tax identification number and any other information reasonably required by SOE.",R,Y,
SOE,you,"You may not assign or transfer this Agreement or your rights hereunder, and any attempt to the contrary is void.",-,,limitation of right
SOE,you,"As part of the registration process we will require that you provide a valid e-mail address in order to provide notices to you about The Station and/or any content, games or services you have requested.",R,Y,
SOE,you,"To protect you and your Child's privacy and security, we will take reasonable steps to help verify your identity before granting you access to the information that we have collected and maintained about you or your Child.",R,T,
SOE,you,SOE will not be liable for any loss or damage arising from your failure to comply with this Section.,L,T,
SOE,you," Any and all User Content submitted (e.g., by uploading or transmitting) to SOE shall be deemed, and shall remain, the property of SOE and/or its Third Party Providers from the moment of uploading or transmission.",-,,
SOE,you,"SOE and its Third Party Providers shall not be responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with use of, inability to use or reliance on any such content, goods or services available on such external sites or resources.",R,T,no-responsibility
SOE,you,"SOE and its Third Party Providers shall not be responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with use of, inability to use or reliance on any such content, goods or services available on such external sites or resources.",L,T,no-liability
SOE,you,"In the event your order is canceled, we will attempt to notify you using the e-mail provided with your order.",R,T,
SOE,you,"In the event you cancel your subscription or membership service, SOE will not refund any fees already paid or owed by you.",R,T,no-responsibility
SOE,you,"In the event you cancel your subscription or membership service, SOE will not refund any fees already paid or owed by you.",L,T,no-liability
SOE,you,In most cases we will not be able to notify UPS of the address change until it arrives in your destination city.,-,,
SOE,you,"You acknowledge and agree that SOE shall have the right to amend, delete, add to or otherwise modify any SOE Fansite Content used or accessed by you in accordance with this Section VII(C)(1).",R,Y,
SOE,you,"Accordingly, we must, regretfully, ask that you do not send us any original creative materials such as game ideas or original artwork.",-,,
SOE,you,We will notify you if you reach such limit.,R,T,
SOE,you,"Where applicable, SOE will deduct the required sales tax from the amount of Station Cash you redeem and SOE will remit the required amounts to the taxing authority.",R,T,
SOE,you,"Similar to an ATM machine, in order to protect against theft, we will from time to time limit the amount of Station Cash you may redeem or purchase at any one time, day or week.",-,,
SOE,you,We will not reinstate any deducted Station Cash except in limited circumstances at our sole and absolute discretion after investigation.,R,T,
SOE,you,"We will let you know the results of our investigation, however, you acknowledge and agree that we have sole and absolute discretion in determining whether or not your claim is valid and if so the appropriate remedy.",R,Y,***
SOE,you, Either SOE or you may terminate this Agreement and your Station Account at any time.,T,B,
SOE,you,You may terminate this Agreement at any time by not using The Station.,T,Y,
SOE,you,Please note that SOE may terminate this Agreement and your rights hereunder at any time in accordance with Section IX(b) below.,T,T,
SOE,you,"If at any time you post such disparaging material, or material that is illegal or infringes upon the rights of any third party, SOE may terminate the grant set forth in Section VII(C)(1).",T,T,
SOE,you,"SOE may terminate access for content providers or forum participants (e.g., Station Voice, voice chat, universal chat, messenger type features, Message Boards, pagers, etc. ) who are found repeatedly to provide or post protected User Content without necessary rights and permissions.",T,T,
SOE,you,"We reserve the right to reduce, liquidate, deactivate, suspend or terminate your Station Cash or access thereto if we suspect, after investigation, that you have misused the Station Cash service or have otherwise used the Station Cash service to conduct any fraudulent or illegal activity.",T,T,
SOE,you,"You also agree to indemnify and hold SOE and its Third Party Providers and designees harmless from any claim or demand, including reasonable attorneys' fees, made by any third party due to or arising out of your violation of these terms and conditions or your violation of any rights of another.",L,Y,
SOE,you," You agree to indemnify and hold harmless SOE, the Sony Family, the Third Party Providers, and all of their respective officers, directors, owners, agents, employees, information providers, affiliates, licensors and licensees (collectively, ""Indemnified Parties"") from and against any and all liability and costs including, without limitation, attorneys' fees and costs, incurred by the Indemnified Parties in connection with any claim arising out of (i) any breach by you of the Agreement or any representations, warranties and/or covenants contained herein or (ii) your use of The Station, including, without limitation, your Station Account and all SOE Communication Features.",L,Y,
21st Century Fox,you,"In addition to filing this Arbitration Form with AAA in accordance with its rules and procedures, you must send a copy of this completed Arbitration Form to 21st Century Fox at the address listed above to which you sent your Notice of Dispute. ",R,Y,
21st Century Fox,you,"Ordinarily, the claimant has to pay that fee to start a case, but if you wish to commence an arbitration against 21st Century Fox, and you are seeking to recover less than $10,000 (inclusive of attorneys’ fees), you will not have to pay this filing fee; 21st Century Fox will pay it on your behalf.",R,T,****
21st Century Fox,you,"If you are seeking to recover $10,000 or more, you will have to pay the filing fee charged by AAA, but 21st Century Fox will reimburse that fee if you win the arbitration.",R,Y,conditional
21st Century Fox,you,"If 21st Century Fox wins the arbitration, you will be responsible for your own attorneys’ fees.",R,Y,
21st Century Fox,you,"These Terms of Use shall be governed by, construed and enforced in accordance with the laws of the State of New York applicable to contracts made and wholly performed in such state, and, for the purposes of any and all legal or equitable actions, you specifically agree and submit to the exclusive jurisdiction and venue of the State and Federal Courts situated in the State and County of New York and agree you shall not object to such jurisdiction or venue on the grounds of lack of personal jurisdiction, forum non conveniens or otherwise.",R,Y,
21st Century Fox,you,"Without limiting the foregoing, 21st Century Fox is not responsible or liable for any malicious code, delays, inaccuracies, errors, or omissions arising out of your use of this website.",R,T,no-responsibility
21st Century Fox,you,"Without limiting the foregoing, 21st Century Fox is not responsible or liable for any malicious code, delays, inaccuracies, errors, or omissions arising out of your use of this website.",L,T,no-liability
21st Century Fox,you,"(3) Any arbitration between you and 21st Century Fox will be conducted by the American Arbitration Association (the “AAA”) and will be governed by the AAA’s Commercial Arbitration Rules and the Supplementary Procedures for Consumer Related Disputes (collectively, the “AAA Rules”), as modified by this Arbitration Agreement.",-,,
21st Century Fox,you,"(4) If either you or 21st Century Fox wants to arbitrate a claim, you or 21st Century Fox must first send by mail to the other a written Notice of Dispute (“Notice”) that sets forth the name, address, and contact information of the party giving notice, the specific facts giving rise to the Dispute, the website or portion of the website to which the Notice relates, and the relief requested.",R,B,**
21st Century Fox,you,"Your Notice to 21st Century Fox must be sent by mail to Arbitration Notice of Dispute, 2121 Avenue of the Stars, 7th Floor, Los Angeles, California, 90067.",-,,
21st Century Fox,you,This Arbitration Agreement shall survive termination of this Agreement.,-,,
Slater Hill,CONSULTANT,CONSULTANT shall perform all services (the “Services”) set forth in Exhibit “A” to this Agreement. ,R,Y,
Slater Hill,CONSULTANT,Slater Hill’s Tom Hill shall be the key person to whom CONSULTANT will report when providing the Services. ,R,T,
Slater Hill,CONSULTANT,Slater Hill shall provide any administrative support required by CONSULTANT in order to provide the Services.,R,T,
Slater Hill,CONSULTANT,CONSULTANT shall invoice Slater Hill for approved hours on a Bi-Monthly basis.,R,Y,
Slater Hill,CONSULTANT,"CONSULTANT will perform the Services during Slater Hill's regular business hours and outside of regular business hours, as required by Slater Hill.",R,Y,
Slater Hill,CONSULTANT,"CONSULTANT shall, in carrying out his responsibilities under this Agreement, neither undertake nor cause, nor permit to be undertaken, any activity that either (i) is illegal under any applicable laws, decrees, rules, or regulations in effect from time to time; or (ii) would have the effect of causing Slater Hill to be in violation of any applicable laws, decrees, rules, or regulations in effect from time to time.",R,Y,
Slater Hill,CONSULTANT,"CONSULTANT shall, in carrying out his responsibilities under this Agreement, neither undertake nor cause, nor permit to be undertaken, any activity that either (i) is illegal under any applicable laws, decrees, rules, or regulations in effect from time to time; or (ii) would have the effect of causing Slater Hill to be in violation of any applicable laws, decrees, rules, or regulations in effect from time to time.",L,Y,
Slater Hill,CONSULTANT,"During and after the term of this Agreement CONSULTANT shall not, directly or indirectly, disclose or communicate to any person or entity, publish, allow unauthorized access to, or use for the benefit of himself or any other person or entity and not for the sole benefit of Slater Hill and purpose of providing the services to Slater Hill, any information in whatever form (including written, electronic, visual or oral form) relating to Slater Hill, its suppliers, contractors, connecting carriers or customers that is acquired or learned as a result of executing and performing this Agreement, whether or not marked or disclosed as confidential or proprietary to Slater Hill, or is prepared by CONSULTANT for Slater Hill under this Agreement.",R,Y,
Slater Hill,CONSULTANT,"If during the term of this Agreement it appears to Slater Hill that this non-disclosure provision is insufficient to protect Slater Hill's statutory, contractual or other legal obligations to others to protect certain information, then CONSULTANT shall upon request execute, acknowledge and deliver all additional documents as may reasonably be required.",R,Y,
Slater Hill,CONSULTANT,"CONSULTANT shall return to Slater Hill all property (including copies of any confidential or proprietary information and Intellectual Property) owned or possessed by Slater Hill upon request or at the termination of this Agreement, whichever shall come first.",R,Y,
Slater Hill,CONSULTANT,"Slater Hill shall comply with all reasonable requests of CONSULTANT to provide access to Slater Hill’s premises and equipment, necessary to perform the Services under this Agreement. ",R,T,
Slater Hill,CONSULTANT,"CONSULTANT shall perform all Services to be performed under this Agreement in a prompt, professional and workmanlike manner.",R,Y,
Slater Hill,CONSULTANT,"Slater Hill may, at its option, in addition to any other rights and remedies it may have, terminate this Agreement immediately at any time by giving CONSULTANT written notice of termination where the CONSULTANT is in breach of any of its obligations under this Agreement.",T,T,
Slater Hill,CONSULTANT,"Either party may, at its option, terminate this Agreement at any time by giving the other party thirty (30) days written notice of termination.",T,B,
Slater Hill,CONSULTANT,"CONSULTANT agrees and acknowledges that all works, ideas, inventions and other material, including all underlying intellectual property, created by it or its employees as a result of the provision of Services, including all modifications, improvements, enhancements, changes and adaptions to any Intellectual Property belonging to or licensed to Slater Hill shall vest in and belong exclusively to Slater Hill.",R,Y,
Slater Hill,CONSULTANT,"CONSULTANT agrees to indemnify and hold harmless Slater Hill and its officers, directors, shareholders, employees and agents, from and against all claims, suits, demands, liability, loss, damages, costs and expenses, including reasonable legal fees and expenses (collectively, “Claims”), which is in any way related to the performance of this Agreement, provided that the CONSULTANT is given prompt written notice of any Claims that Slater Hill receives. ",L,Y,
Slater Hill,CONSULTANT,"Neither party shall be liable to the other or deemed to be in default under this Agreement to the extent the non-compliance resulted directly from any cause beyond the reasonable control of the party, including but not limited to an act of God, warlike operations, riot, civil disorder, strike, lock-out or other industrial or trade dispute, fire, flood, lightening, hurricane, tempest, unavoidable accident, delays or defaults by utility companies or common carriers, or regardless of jurisdiction, acts of Government, public authorities, courts or regulatory authorities.",L,B,no-liability
Slater Hill,CONSULTANT,"Slater Hill shall reimburse the Consultant for all reasonable expenses where written authorization is provided in advance by Slater Hill and the Client, and incurred in connection with this Agreement. ",R,T,
Slater Hill,CONSULTANT,"The Consultant shall maintain complete and accurate accounting records, in a form in accordance with sound accounting practices, to substantiate its invoices hereunder.",R,Y,
Slater Hill,CONSULTANT,The Consultant shall retain such records for such time in compliance with statutory legislation. ,R,Y,
Slater Hill,CONSULTANT,Invoicing &amp; Reporting: The consultant shall invoice Slater Hill once monthly (last day of the month).,R,Y,
Slater Hill,CONSULTANT,For approved hours worked for the month must be submitted within four (4) calendar days after the last day in the month to ensure payment to the Consultant will be released within 1day of the month (a signed timesheet from the client and an invoice from the Consultant are required to provide payments). ,R,Y,
BMO,Service Provider,(3)The parties wish to set out the terms of an agreement under which Service Provider will provide its services to BMO.,-,,
BMO,Service Provider,"(a)Upon and subject to the terms of this Agreement, Service Provider agrees to provide to BMO the Services specified in a Schedule.",R,Y,
BMO,Service Provider,"In that event, Service Provider shall provide the Services to BMO and such Affiliates in accordance with this Agreement and the applicable Schedule unless the parties mutually agree that a separate Schedule is required.",R,Y,
BMO,Service Provider,The Service Provider shall:,R,Y,ambiguous
BMO,Service Provider,"In that event, Service Provider agrees to provide a revised estimate of additional charges, or savings as applicable, for approval by BMO, and so on from time to time. ",R,Y,
BMO,Service Provider,"Service Provider agrees to provide employees, Subcontractor’s employees and independent contractors, (collectively referred to as ""Personnel"") to perform the Services described in the applicable Schedule.",R,Y,
BMO,Service Provider," The Service Provider therefore agrees not to remove key Personnel or substitute key Personnel performing the Services without giving prior written notice to BMO, unless Service Provider is terminating the key Personnel in question for cause, and Service Provider further agrees that, in all events Service Provider will only substitute such Personnel with other Personnel who meet the criteria set out in Section REF _Ref364410012 \w \h 5.6(b).",R,Y,
BMO,Service Provider, Verbal notice from BMO shall be sufficient to exercise this right.,-,,
BMO,Service Provider,"Without limiting the generality of the foregoing, Service Provider agrees to provide to BMO oral and written reports of the status and progress of the Services (“Status Reviews”), the frequency of which will be set out in the applicable Schedule.",R,Y,
BMO,Service Provider,"As between Service Provider and BMO Financial Group, Service Provider is solely responsible for paying the following for the Personnel: employment insurance, workers' compensation, income tax, health tax, pension deductions and remittances, vacation pay, and any other obligations arising out of an employer employee relationship;",R,Y,
BMO,Service Provider,BMO agrees to provide the Personnel with the necessary instructions and passwords to allow its Personnel to obtain remote access to the BMO Financial Group’s network or systems as the Personnel reasonably require for the purposes of delivering the Services to BMO.,R,T,
BMO,Service Provider,"Service Provider will provide BMO, with a copy of each relevant Work Permit on or before the first day that applicable Personnel starts to perform Services in a jurisdiction in respect of which a Work Permit is required.",R,Y,
BMO,Service Provider,"Service Provider will monitor and maintain the currency of all applicable Work Permits and, if Service Provider becomes aware any Work Permit is no longer valid for any reason, it shall notify BMO and arrange for the prompt and orderly replacement of the applicable Personnel with Personnel who have appropriate authorization to perform Services in the applicable jurisdiction.",R,Y,
BMO,Service Provider,"During the applicable Schedule Term, and for 24 months after the Schedule Term, Service Provider will retain a record of applicable Work Permits and supporting documentation.",R,Y,
BMO,Service Provider,"In the event that any BMO Financial Group entity incurs any liability (including any penalty or fine) relating to an allegation that Personnel (a) entered the jurisdiction in which they were performing Services illegally, (b) did not have appropriate authorizations or are not authorized to work the jurisdiction in which they were performing Services, Service Provider shall indemnify and hold BMO Financial Group harmless from such liability (including any penalty or fine).",L,Y,
BMO,Service Provider,"Before any Service Provider Personnel performs Services or access BMO’s premises, Confidential Information or information systems, Service Provider must examine at least two pieces of valid identification for each Service Provider Personnel to confirm such Personnel’s identity.",R,Y,
BMO,Service Provider,"Each Schedule will state whether BMO or Service Provider is responsible for the installation of the Work Product or other deliverables, if applicable.",-,,
BMO,Service Provider,BMO will promptly notify Service Provider in writing of any such Claim against a BMO Financial Group entity. ,R,T,
BMO,Service Provider,"Service Provider will defend, indemnify and hold harmless BMO Financial Group from any Claim, except to the extent such Claim is based upon: (a) modifications made by BMO to the Work Product or other materials provided to any BMO Financial Group entity by Service Provider in connection with this Agreement (including any Schedule), or (b) use of such materials in breach of this Agreement. ",L,Y,
BMO,Service Provider,"Service Provider will defend and settle, at Service Provider’s own expense, all Claims. ",L,Y,
BMO,Service Provider,"“Intellectual Property Rights” means any and all intellectual property rights, including patents, copyrights, moral rights, trade secrets, trademarks, service marks, inventions, design rights and any other proprietary rights provided under Law in respect of intellectual property.",-,,
BMO,Service Provider,"Each of BMO and Service Provider may, at its option, terminate this Agreement (subject to the applicable insolvency legislation and subject to the rights of survival in Section REF _Ref364410512 \n \h 17.12) by written notice to the other party, effective immediately upon receipt of the notice, should the other party cease conducting business in the normal course, becomes insolvent, makes a general assignment for the benefit of creditors, suffer or permit the appointment of a receiver for its business or assets or shall avail itself of, or become subject to, any proceedings under the Bankruptcy and Insolvency Act (Canada) or any other statute of any province or state relating to insolvency or the protection of rights of creditors. ",T,B,
BMO,Service Provider,BMO may at any time terminate this Agreement or any Schedule by giving ten (10) days written notice to Service Provider.,T,T,
www.lionheartinnovations.com,you,You must be at least 18 [eighteen] years of age to use this website.,R,Y,
www.lionheartinnovations.com,you,"You must not use this website in any way that causes, or may cause, damage to the website or impairment of the availability or accessibility of www.lionheartinnovations.com or in any way which is unlawful, illegal, fraudulent or harmful, or in connection with any unlawful, illegal, fraudulent or harmful purpose or activity.",R,Y,
www.lionheartinnovations.com,you,You must not use this website for any purposes related to marketing without the express written consent of www.lionheartinnovations.com.,R,Y,
www.lionheartinnovations.com,you,"If www.lionheartinnovations.com provides you with a user ID and password to enable you to access restricted areas of this website or other content or services, you must ensure that the user ID and password are kept confidential.",R,Y,
www.lionheartinnovations.com,you,You must not submit any user content to the website that is or has ever been the subject of any threatened or actual legal proceedings or other similar complaint.,R,Y,
www.lionheartinnovations.com,you,"www.lionheartinnovations.com will not be liable to you (whether under the law of contact, the law of torts or otherwise) in relation to the contents of, or use of, or otherwise in connection with, this website:",L,T,no-liability
Client,Contractor,"The Contractor shall be responsible for maintaining all life, health, accident, workers compensation, including employer’s liability, and any other insurance benefits related to all those employed or otherwise hired by the Contractor, and as required by local law. ",R,Y,
Client,Contractor,The Contractor shall be responsible for paying any and all taxes in whatever jurisdiction taxes are due from or by the Contractor. ,R,Y,
Client,Contractor, The Client shall not pay any taxes on behalf of the Contractor - either in the Contractor’s base of operations or the Contractor’s home country. ,R,T,no-responsibility
Client,Contractor," In the event of termination, the Contractor shall be paid for any time already spent in the execution of this project and shall be reimbursed for any direct expenses paid related to the execution of this project. ",R,T,***
Client,Contractor," The Contractor shall provide a copy of all code, notes and work undertaken on the project to the date of termination. ",R,Y,
Client,Contractor,The Client further agrees that the Contractor will not be liable for any loss of profits nor for any claim against the Client made by any third party. ,L,Y,no-liability
Client,Contractor,"Without limiting any of the provisions above, the Client agrees that the Contractor shall not be liable to the Client from and against damages and/or claims arising from:",L,Y,no-liability
Client,Contractor,"If PeaceWorks is not immediately notified, the Client is responsible for any damages caused by such unauthorized use. ",L,T,
Client,Contractor,The Client is responsible for ensuring that the use of their account does not in any way result in damage or disruption to PeaceWorks hosting service or to our other clients. ,R,T,
Client,Contractor,"The Client is responsible for obtaining and maintaining any software (email program, web browser, etc.) required to make use of PeaceWorks hosting services. ",R,T,
AHS,Supplier," Supplier shall have a similar provision in all subcontracts with a value or cost totaling $10,000 or more over a twelve (12) month period, if any, for providing other products or services under this Agreement. ",-,,
AHS,Supplier,  Supplier shall not penalize AHS if the number of facilities within AHS decreases. ,R,Y,
AHS,Supplier,"Purchases under this Agreement shall be made with purchase orders issued by AHS, individual facilities or affiliate procurement department(s) for Qualifying Facilities which, in turn, shall be liable under the Agreement as stated and identified. ",R,Y,assuming absolute
AHS,Supplier,"Purchases under this Agreement shall be made with purchase orders issued by AHS, individual facilities or affiliate procurement department(s) for Qualifying Facilities which, in turn, shall be liable under the Agreement as stated and identified. ",L,T,
