THEM party,YOU party,CLAUSE,RESPONSIBILITY? (Y/N),YOURS? (Y/N),THEIRS? (Y/N),NEGATED? (Y/N)
Yahoo,you,"b. YAHOO AND ITS SUBSIDIARIES, AFFILIATES, OFFICERS, EMPLOYEES, AGENTS, PARTNERS AND LICENSORS MAKE NO WARRANTY THAT (i) THE YAHOO SERVICES OR SOFTWARE WILL MEET YOUR REQUIREMENTS; (ii) THE YAHOO SERVICES OR SOFTWARE WILL BE UNINTERRUPTED, TIMELY, SECURE OR ERROR-FREE; (iii) THE RESULTS THAT MAY BE OBTAINED FROM THE USE OF THE YAHOO SERVICES OR SOFTWARE WILL BE ACCURATE OR RELIABLE; (iv) THE QUALITY OF ANY PRODUCTS, SERVICES, INFORMATION OR OTHER MATERIAL PURCHASED OR OBTAINED BY YOU THROUGH THE YAHOO SERVICES OR SOFTWARE WILL MEET YOUR EXPECTATIONS; AND (v) ANY ERRORS IN THE SOFTWARE WILL BE CORRECTED.",,,,
Yahoo,you,"c. ANY MATERIAL DOWNLOADED OR OTHERWISE OBTAINED THROUGH THE USE OF THE YAHOO SERVICES OR SOFTWARE IS ACCESSED AT YOUR OWN DISCRETION AND RISK, AND YOU WILL BE SOLELY RESPONSIBLE FOR AND HEREBY WAIVE ANY AND ALL CLAIMS AND CAUSES OF ACTION WITH RESPECT TO ANY DAMAGE TO YOUR COMPUTER SYSTEM, INTERNET ACCESS, DOWNLOAD OR DISPLAY DEVICE, OR LOSS OF DATA THAT RESULTS FROM THE DOWNLOAD OF ANY SUCH MATERIAL.",,,,
Yahoo,you,"d. NO ADVICE OR INFORMATION, WHETHER ORAL OR WRITTEN, OBTAINED BY YOU FROM YAHOO OR THROUGH OR FROM THE YAHOO SERVICES OR SOFTWARE SHALL CREATE ANY WARRANTY NOT EXPRESSLY STATED IN THE TOS.",,,,
Yahoo,you,"YOU EXPRESSLY UNDERSTAND AND AGREE THAT YAHOO AND ITS SUBSIDIARIES, AFFILIATES, OFFICERS, EMPLOYEES, AGENTS, PARTNERS AND LICENSORS SHALL NOT BE LIABLE TO YOU FOR ANY PUNITIVE, INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR EXEMPLARY DAMAGES, INCLUDING, BUT NOT LIMITED TO, DAMAGES FOR LOSS OF PROFITS, GOODWILL, USE, DATA OR OTHER INTANGIBLE LOSSES (EVEN IF YAHOO HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES), RESULTING FROM: (a) THE USE OR THE INABILITY TO USE THE YAHOO SERVICE; (b) THE COST OF PROCUREMENT OF SUBSTITUTE GOODS AND SERVICES; (c) UNAUTHORIZED ACCESS TO OR ALTERATION OF YOUR TRANSMISSIONS OR DATA; (d) STATEMENTS OR CONDUCT OF ANY THIRD PARTY ON THE YAHOO SERVICE; OR (e) ANY OTHER MATTER RELATING TO THE YAHOO SERVICE.",,,,
Yahoo,you,"You agree that, except as otherwise expressly provided in this TOS, there shall be no third-party beneficiaries to this agreement.",,,,
Yahoo,you,"You and Yahoo each agree that the TOS and the relationship between the parties shall be governed by the laws of the State of California without regard to its conflict of law provisions and that any and all claims, causes of action or disputes (regardless of theory) arising out of or relating to the TOS, or the relationship between you and Yahoo, shall be brought exclusively in the courts located in the county of Santa Clara, California or the U.S. District Court for the Northern District of California.",,,,
Yahoo,you,The failure of Yahoo to exercise or enforce any right or provision of the TOS shall not constitute a waiver of such right or provision.,,,,
Yahoo,you,"You agree that regardless of any statute or law to the contrary, any claim or cause of action arising out of or related to use of the Yahoo Services or the TOS must be filed within one (1) year after such claim or cause of action arose or be forever barred.",,,,
Contractor,Customer,2. The Services will also include any other tasks which the Parties may agree on.,,,,
Contractor,Customer,"3. The term of this Agreement (the "" Term "") will begin on the date of this Agreement and will remain in full force and effect indefinitely until terminated as provided in this Agreement. ",,,,
Contractor,Customer,"4. In the event that either Party wishes to terminate this Agreement, that Party will be required to provide 30 days notice to the other Party. ",,,,
Contractor,Customer,"5. Except as otherwise provided in this Agreement, the obligations of the Contractor will end upon the termination of this Agreement. ",,,,
Contractor,Customer,"8. For the services rendered by the Contractor as required by this Agreement, the Customer will provide compensation (the "" Compensation "") to the Contractor of $5,000.00 USD per month. ",,,,
Contractor,Customer,"9. The Compensation will be payable on a monthly basis, in advance, while this Agreement is in force. ",,,,
Contractor,Customer,Any sales tax and duties required by law will be charged to the Customer in addition to the Compensation. ,,,,
Contractor,Customer,"11. In addition to the Compensation, the Contractor will be entitled to the following additional compensation for performing the Services: ",,,,
Contractor,Customer,o	The Contractor will receive 10% of all net revenue on a quarterly basis.,,,,
Contractor,Customer,o	The Contractor will receive a commission rate of between 30 - 40% of any partner related sales.,,,,
Contractor,Customer,"12. The Customer will provide the necessary product, technical, and market support necessary for Contractor to perform their tasks. ",,,,
Contractor,Customer,"13. In connection with providing the Services hereunder, the Contractor will only be reimbursed for the following: ",,,,
Contractor,Customer,14. The Contractor will furnish statements and vouchers to the Customer for all such expenses. ,,,,
Contractor,Customer,"15. In the event that the Customer does not comply with the rates, amounts, or payment dates provided in this Agreement, a late payment penalty will be charged as follows: ",,,,
Contractor,Customer,"o	Late payments will be subject to a late payment charge no less than 2%, per month, compounded (26.9% APR). ",,,,
Contractor,Customer,16. No performance penalty will be charged if the Contractor does not perform the Services within the time frame provided by this Agreement. ,,,,
Contractor,Customer,"18. The Contractor agrees that they will not disclose, divulge, reveal, report or use, for any purpose, any Confidential Information which the Contractor has obtained, except as authorized by the Customer.",,,,
Contractor,Customer,This obligation will survive for a period of one (1) year from the termination of this Agreement. ,,,,
Contractor,Customer,"19. Other than with the express written consent of the Customer, which will not be unreasonably withheld, the Contractor will not, during the continuance of this Agreement or within one (1) year after the termination of this Agreement, be directly or indirectly involved with a business which is in direct competition with the particular business line of the Customer, divert or attempt to divert from the Customer any business the Customer has enjoyed, solicited, or attempted to solicit, from other individuals or corporations, prior to termination of this Agreement. ",,,,
Contractor,Customer,"21. The Contractor agrees that, during the term of this Agreement, and for a period of one (1) year after the termination of the Agreement, the Contractor will not in any way directly or indirectly: ",,,,
Contractor,Customer,"22. Upon the expiry or termination of this Agreement, the Contractor will return to the Customer any property, documentation, records, or Confidential Information which is the property of the Customer. ",,,,
Contractor,Customer,"24. All notices, requests, demands or other communications required or permitted by the terms of this Agreement will be given in writing and delivered to the Parties of this Agreement as follows: ",,,,
Contractor,Customer,This indemnification will survive the termination of this Agreement. ,,,,
Contractor,Customer,"26. It is understood and agreed that the Contractor will not be liable to the Customer, or any agent or associate of the Customer, for any mistake or error in judgment or for any act or omission done in good faith and believed to be within the scope of authority conferred or implied by this Agreement. ",,,,
Contractor,Customer,"27. In the event a dispute arises out of or in connection with this Agreement, the Parties will attempt to resolve the dispute through friendly consultation. ",,,,
Contractor,Customer,"If mediation is unavailable or is not successful in resolving the entire dispute, any outstanding issues will be submitted to final and binding arbitration in accordance with the laws of the Commonwealth of Virginia.",,,,
Contractor,Customer,"The arbitrator's award will be final, and judgment may be entered upon it by any court having jurisdiction within the Commonwealth of Virginia. ",,,,
Contractor,Customer,29. Any amendment or modification of this Agreement or additional obligation assumed by either Party in connection with this Agreement will only be binding if evidenced in writing signed by each Party or an authorized representative of each Party. ,,,,
Contractor,Customer,No extension or variation of this Agreement will operate as a waiver of this provision. ,,,,
Contractor,Customer,31. The Contractor will not voluntarily or by operation of law assign or otherwise transfer its obligations under this Agreement without the prior written consent of the Customer. ,,,,
Contractor,Customer,"33. This Agreement will enure to the benefit of and be binding on the Parties and their respective heirs, executors, administrators, successors and permitted assigns. ",,,,
Contractor,Customer,"37. In the event that any of the provisions of this Agreement are held to be invalid or unenforceable in whole or in part, all other provisions will nevertheless continue to be valid and enforceable with the invalid or unenforceable parts severed from the remainder of this Agreement. ",,,,
Contractor,Customer,"38. The waiver by either Party of a breach, default, delay or omission of any of the provisions of this Agreement by the other Party will not be construed as a waiver of any subsequent breach of the same or other provisions. ",,,,
Contractor,Owner,"As used in this Agreement, the term "" Work "" shall mean the construction and services required by the Contract Documents (as defined below), whether completed or partially completed, and includes all other labor, materials, equipment and services provided or to be provided by the Contractor to fulfill the Contractor's obligations.",,,,
Contractor,Owner,"Contractor hereby acknowledges and agrees that, if the Owner so elects, construction of the Work in accordance with Article III below (the "" Construction Phase "") may commence before the Preconstruction Phase is completed, in which case both phases will proceed concurrently.",,,,
Contractor,Owner,"For the Preconstruction Phase services, Contractor's compensation for its direct labor costs shall be as set forth in Exhibit B attached hereto and shall not exceed $_________ $173,700.00 + Fee in the aggregate.",,,,
Contractor,Owner,"Payments shall be made monthly following presentation of the Contractor's invoice and, where applicable, payments shall be in proportion to services performed.",,,,
Contractor,Owner,Payments for undisputed amounts shall be due and payable thirty (30) days after the date the Contractor's invoice is received by the Owner.,,,,
Contractor,Owner,Costs for any design/assist or design/build subcontractors shall be added by Change Order  ,,,,
Contractor,Owner,"The Contractor shall provide recommendations on construction feasibility; actions designed to minimize adverse effects of labor or material shortages; time requirements for procurement, installation and construction completion; and factors related to construction cost, including estimates of alternative designs or materials, preliminary budgets and possible economies. ",,,,
Contractor,Owner,"As design proceeds, the preliminary Project schedule shall be updated to indicate proposed activity sequences and durations, milestone dates for receipt and approval of pertinent information, submittal of a Guaranteed Maximum Price proposal, preparation and processing of shop drawings and samples, delivery of materials or equipment requiring long-lead-time procurement, Owner's occupancy and/or utilization requirements showing portions of the Project having occupancy and/or utilization priority, and proposed date of Substantial Completion (as defined in Article X).",,,,
Contractor,Owner,"If preliminary Project schedule updates indicate that previously approved schedules may not be met, the Contractor shall make appropriate recommendations to the Owner and Architect. ",,,,
Contractor,Owner,"D.	At Owner's request, the Contractor shall make recommendations to the Owner and Architect regarding the phased issuance of Drawings and Specifications to facilitate phased construction of the Work, taking into consideration such factors as economies, time of performance, availability of labor and materials, and provisions for temporary facilities. ",,,,
Contractor,Owner,"If any estimate submitted to the Owner exceeds previously approved estimates or the Owner's budget or schedule, the Contractor shall make appropriate recommendations to the Owner and Architect to bring the project costs back to the approved budget and schedule. ",,,,
Contractor,Owner,"The Owner or Architect will promptly reply in writing to the Contractor if the Architect, any of Owner's Consultants or Owner has any objection to any such subcontractor or supplier.",,,,
Contractor,Owner,"The receipt of such list shall not require the Owner, Architect or Owner's Consultants to investigate the qualifications of proposed subcontractors or suppliers, nor shall it waive the right of the Owner, Architect or Owner's Consultants later to object to or reject any proposed subcontractor or supplier.",,,,
Contractor,Owner,"This Procurement Plan shall include for each work package a proposed plan to competitively bid or negotiate, a description of the compensation method (for example lump sum or unit cost), the Subcontractors recommended for competitive bidding or negotiated awards and identification of all proposed self-perform work.",,,,
Contractor,Owner,Contractor shall obtain Owner's approval of the Procurement Plan as the basis for the procurement strategy in accordance with Article XI of this Agreement. ,,,,
Contractor,Owner,"If such long-lead-time items are procured by the Owner, they shall be procured on terms and conditions reasonably acceptable to the Contractor.",,,,
Contractor,Owner,"Upon the Owner's acceptance of the Contractor's Guaranteed Maximum Price proposal, all contracts for such items shall be assigned by the Owner to the Contractor, who shall accept responsibility for such items as if procured by the Contractor.",,,,
Contractor,Owner,The Contractor shall expedite the delivery of long-lead-time items. ,,,,
Contractor,Owner,The recommendations and advice of the Contractor concerning design alternatives shall be subject to the review and approval of the Owner and the Owner's professional consultants.,,,,
Contractor,Owner,"However, it is understood that the Ccontractor shall provide a standard of care that is consistent with other similar contractors and the Contractor's licenses.",,,,
Contractor,Owner,"If the Contractor recognizes that portions of the Drawings and Specifications are at variance therewith, the Contractor shall promptly notify the Architect and Owner in writing. ",,,,
Contractor,Owner,"Such further development does not include such things as material changes in scope, systems, kinds and quality of materials, finishes or equipment, all of which, if required, shall be incorporated by Change Order.",,,,
Contractor,Owner,"The estimated Cost of the Work shall include a proposed Contractor's contingency not to exceed ____TBD____15% (as approved by the Owner and set forth in the Amendment, as such term is defined in Paragraph II.L below, the "" Contingency "") which shall consist of a sum reasonably and in good faith established by the Contractor to cover (First) costs arising as a result of the further development of the Drawings and Specifications which are properly reimbursable as a Cost of the Work but are not the basis for a Change Order, and costs associated with concealed or latent conditions as described in Paragraph VI.D below, and over allowance amounts as described in Paragraph IV.B below (second) other costs that in good faith were not included in other areas of the GMP which are properly reimbursable as a Cost of the Work, other than General Conditions items but only to the extent that all savings from subcontractor, material buyouts and allowances have been fully expended (third) to the extent funds remain in the contingency, costs associated with mutually agreed upon changes in the scope of the Work as evidenced by Change Order (collectively, "" Permitted Contingency Items "").",,,,
Contractor,Owner,"For tracking and approval purposes by Owner, use of the Contingency and requests for the use of the Contingency shall be submitted by Contractor to the Owner in writing denoting a $0 cost to the GMP and defining the amount of Contingency remaining after the Contingency Usage has been approved.",,,,
Contractor,Owner,"No such cost shall be charged to the Contingency unless Owner approves the same in writing, which approval shall not be unreasonably withheld if such cost is properly chargeable to the Contingency in accordance with the terms and provisions of this Agreement.",,,,
Contractor,Owner,Any agreement by Owner and Contractor with respect to Owner Utilized Contingency Funds shall be documented by a Change Order or other instrument signed by the parties.,,,,
Contractor,Owner,"If, following the application of any Owner Utilized Contingency Funds, the remaining Contingency is insufficient to fund the costs of Permitted Contingency Items, Owner shall not unreasonably withhold its consent to any request by Contractor to restore the Contingency by the amount of any Owner Utilized Contingency Funds previously applied, to the extent necessary to increase the Contingency to an amount sufficient to fund the costs of Permitted Contingency Items. ",,,,
Contractor,Owner,"K.	The Contractor shall include with the Guaranteed Maximum Price proposal a written statement of its basis, which shall include: ",,,,
Contractor,Owner,"In the event that the Owner or Architect discovers any inconsistencies or inaccuracies in the information presented, they shall promptly notify the Contractor, who shall make appropriate adjustments to the Guaranteed Maximum Price proposal, its basis, or both. ",,,,
Contractor,Owner,"M.	Unless the Owner accepts the Guaranteed Maximum Price proposal in writing on or before the date specified in the proposal for such acceptance (which date shall in no event be earlier than thirty (30) days following Owner's receipt of such proposal) and so notifies the Contractor, the Guaranteed Maximum Price proposal shall not be effective without written acceptance by both the Owner and the Contractor.",,,,
Contractor,Owner,"Upon acceptance by the Owner of the Guaranteed Maximum Price proposal, the Guaranteed Maximum Price and its basis, as well as the date by which the Contractor shall achieve Substantial Completion of the entire Work, shall be set forth in an amendment to this Agreement, substantially in the form of Exhibit D attached hereto, and executed by both the Owner and the Contractor (the "" Amendment ""). ",,,,
Contractor,Owner,"Such revised Drawings and Specifications shall be furnished to the Contractor in accordance with schedules agreed to by the Owner, Architect and Contractor.",,,,
Contractor,Owner,The Contractor shall promptly notify the Architect and Owner if such revised Drawings and Specifications are inconsistent with the agreed-upon assumptions and clarifications. ,,,,
Contractor,Owner,A. The Construction Phase shall commence on the earlier of:  ,,,,
Contractor,Owner,The Construction Schedule shall be attached as an exhibit to the Amendment and shall be provided in Microsoft Project soft copy format if available.,,,,
Contractor,Owner,"The Construction Schedule shall not exceed time limits current under the Contract Documents (including, without limitation, the date for Substantial Completion), shall define major construction milestones, their sequences and elapsed completion time from date of this Agreement, shall include order and delivery dates for all required shop drawings and all long lead time materials and equipment, shall be related to the entire Project to the extent required by the Contract Documents, shall be revised (with the Owner's approval) at appropriate intervals as required by conditions of the Work and the Project and shall provide for expeditious and practicable execution of the Work.",,,,
Contractor,Owner,"In addition, Contractor shall prepare and keep current, for the Owner's approval, a submittal schedule for all shop drawings, details, samples, equipment data and other submittal information required herein. ",,,,
Contractor,Owner,The log shall be available to the Owner and Architect.,,,,
Contractor,Owner,"Throughout the performance of the Work, the Contractor will confer and cooperate with the Owner and will plan and execute the Work so as to ensure the timely and efficient completion thereof. ",,,,
Contractor,Owner,The Contractor shall identify variances between actual and estimated costs and report the variances to the Owner and Architect at regular intervals. ,,,,
Contractor,Owner,Extensions of time for inclement weather plus impact days will not be granted unless the cumulative number of days of inclement weather exceeds the total average number of inclement weather days as reported by the National Weather ServiceEnvironment Canada and such inclement weather causes a delay in the critical path of the Work. ,,,,
Contractor,Owner,"Contractor guarantees that the maximum price to the Owner for the Cost of the Work and the Contractor's Fee (collectively, the "" Contract Sum ""), subject to authorized adjustments, shall not exceed the Guaranteed Maximum Price, hereinafter sometimes referred to as the "" GMP.",,,,
Contractor,Owner,Such Drawings and Specifications shall be deemed to be part of the Contract Documents.,,,,
Contractor,Owner,The Guaranteed Maximum Price shall be increased by the aggregate amount of such excess costs and fees or the aggregate amount can be deducted from any remaining Contingency.,,,,
Contractor,Owner,"If the actual Cost of the Work for an item is less than the Allowance for that item, the Guaranteed Maximum Price shall be decreased or the Contingency amount shall be increased by the aggregate of the difference between the Allowance and the actual Cost of the Work for such item, plus a fee equal to ____TBA____% of the amount by which the Allowance for such item exceeds the actual Cost of the Work for the item (representing the decrease in the Contractor's Fee applicable thereto).",,,,
Contractor,Owner,Use of the Allowances shall be approved by the Owner and requests for the use of the Allowances shall be submitted to the Owner in written format defining the cost of the Allowance Item and defining the amount of any allowance fund remaining.,,,,
Contractor,Owner,If the allowance usage results in an increase to the GMP the increase to the GMP shall be submitted in a Change Order Format as described in Article VI denoting the cost to the GMP.,,,,
Contractor,Owner,Any such increases or decreases in the Guaranteed Maximum Price if any and payments relating thereto shall be confirmed in a Change Order pursuant to the provisions of Article VI below. ,,,,
Contractor,Owner,The Contractor's Fee shall be payable in pro rata installments in accordance with the progress payment provisions of Article VIII (including provisions for retention). ,,,,
Contractor,Owner,"D.	In the event the Cost of the Work plus the Contractor's Fee shall equal a sum which is less than the Guaranteed Maximum Price, as adjusted pursuant to the terms of this Agreement, the resulting savings shall accrue in their entirety for the benefit of Owner. ",,,,
Contractor,Owner,"E.	The term "" Cost of the Work "" shall mean only those costs actually, reasonably and necessarily incurred by Contractor in the proper performance of the Work at rates no higher than the standard paid at the place of the Project, including, without limitation the following: ",,,,
Contractor,Owner,"Notwithstanding the foregoing, any rented machinery or equipment shall be subject to the prior written approval of Owner.",,,,
Contractor,Owner,"The rental rates for such machinery and equipment shall not exceed eighty percent (80%) of the blue book rates for such machinery and equipment, and the total rental charges shall not exceed the fair market value of such machinery and equipment. ",,,,
Contractor,Owner,"5. Costs of insurance policies and bonds only to the extent they are required to be furnished by Contractor under the Contract, in the amounts specified in the Schedule of Values which is to be attached as an exhibit to the Amendment (the "" Schedule of Values "") (Contractor's umbrella liability insurance costs are set at _____% TBD% of the Cost of the Work and Contractor's bonding costs shall not exceed TBD____% of the Cost of the Work; Contractor's other insurance costs will be included in Contractor's agreed billing rates).",,,,
Contractor,Owner,"All purchases of such materials, supplies, equipment, temporary facilities and hand tools shall be recorded in a log maintained at the Project site or Contractor's principal office and shall be subject to inspection by Owner upon demand.",,,,
Contractor,Owner,"Any such materials, supplies, equipment or tools not owned by the workmen which are used, but not consumed, in the performance of the Work shall remain the property of the Contractor upon completion of the Work; provided, however, that with respect to any such equipment or tools which cost in excess of $500 and have a useful life of more than one year, the cost of same shall be adjusted as appropriate on the basis of their fair market value. ",,,,
Contractor,Owner,"(i) 	If Sub Guard is provided, Google will accept a maximum charge of.65% of each subcontractor cost for Sub Guard as part of the Cost of Work.",,,,
Contractor,Owner,"(j) 	Contractor's General Conditions costs for the Project shall be as described in Contractor's Proposal dated _March 20______, 2014__ attached hereto and incorporate herein by reference as Exhibit F. ",,,,
Contractor,Owner,F.	The term Cost of the Work shall not include any of the following: ,,,,
Contractor,Owner,"Contractor may work overtime and be paid for overtime provided that such overtime does not require a Change Order or cause the Guaranteed Maximum Price to be exceeded, and provided further that such overtime shall not be a charge against the Contingency without Owner's prior written approval in each instance.",,,,
Contractor,Owner,Provided however in either case the Owner will only pay the premium time on the base rate costs of the over time worked.,,,,
Contractor,Owner,G.	The following items shall be credited against the Cost of the Work or shall be reimbursed by Contractor to Owner: ,,,,
Contractor,Owner,"The Contractor shall obtain all possible trade and time discounts on bills for materials, supplies and equipment furnished, and shall pay said bills within the discount periods, provided that Owner timely pays Contractor pursuant to the terms of this Agreement. ",,,,
Contractor,Owner,"Owner and Owner's accountants shall have access to, and shall be permitted to copy and audit, Contractor's records, books, correspondence, instructions, drawings, receipts, subcontracts, purchase orders, vouchers, memoranda and other data relating to this Agreement, and Contractor its affiliates, subsidiaries or other related entities shall preserve such items for a period of five (5) years after final payment, or for such longer period as may be required by applicable Law.",,,,
Contractor,Owner,"The Contractor, its affiliates, subsidiaries or other related entities performing any Work on the Project shall make all records available for audit that may, in Owner's reasonable judgment, pertain to any obligation of Contractor or any Subcontractor under the Contract Documents, and Owner, Owner's representative and/or Owner's accountants shall have the right, at Owners sole expense, that being those reasonable expenses of Contractor to facilitate Owner, acting reasonably, to audit all documentation related to the costs of all subcontracts, the costs of all materials and equipment, and the costs of all Change Orders, and to verify invoices and that performance of the Work is in compliance with the Contract Documents at all times both on the site and at the Contractors local or Corporate office; provided, however, that no decision by Owner to perform or not to perform any such audit shall be deemed a waiver of any of Owner's rights or of Contractor's obligations.",,,,
Contractor,Owner,Any and all disputes between the parties with respect to the amount of any alleged error or overcharge shall be resolved pursuant to the dispute resolution procedures provided herein.,,,,
Contractor,Owner,All audits shall be conducted on a non-contingent basis by a qualified auditor with a minimum of three (3) years experience performing audits of a similar nature.,,,,
Contractor,Owner,"A. For purposes of Article VI, the term "" related party "" shall mean a parent, subsidiary, affiliate or other entity having common ownership or management with the Contractor; any entity in which any stockholder in, or management employee of, the Contractor owns any interest in excess of ten percent in the aggregate; or any person or entity which has the right to control the business or affairs of the Contractor.",,,,
Contractor,Owner,"A. Owner may from time to time, by written instructions or drawings issued to the Contractor, make changes in the Work, issue additional instructions, require additional work, or direct the omission of work previously ordered, and the provisions of this Agreement shall apply to all such changes, modifications, additions and omissions with the same effect as if they were embodied in the original Drawings and Specifications.",,,,
Contractor,Owner,"Any such change, modification, addition or omission shall be documented by a "" Change Order.",,,,
Contractor,Owner,""" A Change Order shall consist of a written document signed by Owner and Contractor describing the change in the Work, the amount of adjustment, if any, to the Guaranteed Maximum Price and the adjustment, if any, to the date of Substantial Completion. ",,,,
Contractor,Owner,"Upon approval by Owner, a Change Order shall be issued and the Guaranteed Maximum Price and, if applicable, the date of Substantial Completion shall be adjusted as set forth in such Change Order. ",,,,
Contractor,Owner,"If a Change Order results in a decrease in the Cost of the Work, the Guaranteed Maximum Price shall be decreased by the amount of the decrease.",,,,
Contractor,Owner,"Additional costs shall be limited to (a) costs of labor; (b) costs of materials, supplies and equipment; (c) rental costs of machinery and equipment, exclusive of hand tools; and (d) additional costs of supervision and field office personnel directly attributable to the change provided that the change has an impact on the critical path of the approved project schedule.",,,,
Contractor,Owner,A maximum of 5% mark-up will be allowed by the Subcontractor for any work that is subcontracted under the subcontractor.,,,,
Contractor,Owner,"Such permitted mark-up for Subcontractor overhead and profit shall be deemed to cover all costs and expenses of any nature whatsoever, including without limitation those for general conditions items such as administration, clean-up, protection, supervision, estimating, field operations, small tools and security, which such Subcontractor may incur in the performance of or in connection with a change in the Work and which are not otherwise specifically recoverable pursuant to clauses (a), (b) and (c) above.",,,,
Contractor,Owner,"Except as expressly set forth in this Agreement, elements of Subcontractor Change Orders shall be consistent with such Subcontractor's Schedule of Values.",,,,
Contractor,Owner,Retention will be held on any such Change Order Work in accordance with Article VIII.,,,,
Contractor,Owner,"For changes in the Work, the Contractor's Fee shall be adjusted as follows: in the event the sum of the changes in the Work results in a net decrease in the Cost of the Work, the Contractor's Fee shall be reduced by an amount equal to ______ TBA________ percent (3.5____%) of the net decrease; however, in the event the sum of the changes in the Work results in a net increase in the Cost of the Work, the Contractor's Fee shall be increased by an amount equal to ________ TBA______ percent (3.5____%) of the net increase. ",,,,
Contractor,Owner,"Contractor shall promptly report errors, inconsistencies or omissions discovered by Contractor to Architect and Owner. ",,,,
Contractor,Owner,Owner and Architect shall at all times have access to the Work for review thereof.,,,,
Contractor,Owner,"In addition to the obligations set forth in Article III above and this Article VII, Contractor's Construction Phase services shall include those set forth on Exhibit E attached hereto. ",,,,
Contractor,Owner,"The Contractor will assist in the coordination of the Contract Documents and to the greatest extent possible shall utilize BIM modeling to help coordinate, discover and resolve conflicts in the documents.",,,,
Contractor,Owner,"Nothing in this paragraph shall relieve the Contractor from responsibility to use good faith efforts in its examination and review of the existing conditions at the Project site, the Construction Schedule, and the Contract Documents, to the end that errors, omissions or inconsistencies in the Contract Documents that are discovered by the Contractor in the course of the Contractor's required duties hereunder shall be promptly reported to the Architect and Owner. ",,,,
Contractor,Owner,The General Contractor shall make all subcontractors aware of the Google Red List requirements and to the greatest extent possible include this in subcontractor contracts. ,,,,
Contractor,Owner,It shall be understood as part of this Agreement that Contractor and each of its Subcontractors visited the site and examined the environs and satisfied themselves as to the conditions under which they would be required to perform the Work.,,,,
Contractor,Owner,No allowance shall be made on behalf of Contractor or any Subcontractor for any failure to so acquaint themselves with working conditions except concealed and unforeseeable conditions. ,,,,
Contractor,Owner,"The Contractor shall be solely responsible for and have control over construction means, methods, techniques, sequences and procedures and for coordinating all portions of the Work under the Contract, unless the Contract Documents give other specific instructions concerning these matters. ",,,,
Contractor,Owner,"F.	The Contractor shall be responsible to the Owner for acts and omissions of the Contractor's employees, Subcontractors and their agents and employees, and any other persons performing portions of the Work under a contract with or through the Contractor or claiming by, through or under the Contractor and for any damages, losses, costs and expenses resulting from such acts or omissions. ",,,,
